"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"531","Parker Kelly","COL","C","65","688.1","3","6","4","2","9","81.82","62","4.84","5.79","146","103","67","29","4","8","25","11","10","1","0","11","32","14","120","78","35","236","293","44.61"
"546","Joe Veleno","CHI, DET","C","58","644.33333333333","5","4","2","2","9","64.29","50","10.00","5.45","102","74","52","26","6","15","13","5","4","1","0","4","36","10","99","58","30","143","150","48.81"
"579","Declan Chisholm","MIN","D","56","884.16666666667","1","8","5","3","9","31.03","50","2.00","1.66","124","72","27","6","4","10","8","4","4","0","0","2","66","20","25","102","53","0","0","-"
"580","Pontus Holmberg","TOR","R","52","618.65","1","8","3","5","9","52.94","46","2.17","5.04","112","75","60","31","2","10","18","9","9","0","0","21","22","8","29","60","33","94","100","48.45"
"664","Juuso Parssinen","COL, NSH, NYR","C","41","404.98333333333","4","5","3","2","9","81.82","25","16.00","3.15","53","40","31","20","4","5","15","6","5","1","0","2","14","3","76","38","20","65","71","47.79"
"665","Zac Jones","NYR","D","35","519.23333333333","1","8","3","5","9","50.00","28","3.57","1.56","66","46","19","2","2","2","10","5","5","0","0","0","30","8","17","49","29","0","0","-"
"671","Adam Edstrom","NYR","C","51","466.88333333333","5","4","3","1","9","60.00","39","12.82","6.79","71","58","58","37","3","4","27","8","6","1","1","10","19","7","94","34","34","0","3","0.00"
"680","Cole Smith","NSH","L, R","53","575.31666666667","4","5","2","3","9","52.94","49","8.16","5.79","101","71","62","31","6","15","43","14","9","5","0","15","29","14","112","84","17","4","5","44.44"
"714","Jamie Drysdale","PHI","D","54","888.18333333333","3","6","3","3","9","23.68","34","8.82","1.94","112","65","31","4","3","7","12","6","6","0","0","2","50","17","12","62","70","0","0","-"
"731","Gage Goncalves","T.B","C","42","489.2","3","6","4","2","9","47.37","36","8.33","3.18","65","51","37","16","3","8","8","4","4","0","0","6","25","13","42","70","10","1","1","50.00"
"740","Yegor Chinakhov","CBJ","R","25","326.76666666667","5","4","3","1","9","64.29","45","11.11","3.64","91","69","41","17","7","9","2","1","1","0","0","3","15","2","40","13","9","0","0","-"
"808","Conor Geekie","T.B","C","49","550.35","5","4","4","0","9","47.37","48","10.42","5.61","100","75","58","26","2","14","14","7","7","0","0","12","26","7","85","69","21","69","94","42.33"
"829","Matthew Poitras","BOS","C","33","382.08333333333","1","8","6","2","9","75.00","25","4.00","3.12","63","45","40","13","3","6","8","4","4","0","0","10","25","12","12","46","10","56","66","45.90"
"857","Sam Malinski","COL","D","61","900.66666666667","2","7","3","4","9","23.68","77","2.60","3.01","207","114","55","8","8","18","8","4","4","0","0","5","58","21","41","136","83","0","0","-"
"77","Ben Chiarot","DET","D","63","1170.0333333333","3","5","4","1","8","20.51","85","3.53","2.98","199","124","60","9","14","16","45","20","19","1","0","12","69","19","88","104","92","0","0","-"
"136","Boone Jenner","CBJ","C","8","101.03333333333","0","8","4","4","8","72.73","16","0.00","1.68","26","24","15","10","0","3","0","0","0","0","0","1","6","1","15","1","6","44","36","55.00"
"202","Erik Gustafsson","DET","D","56","795.7","1","7","6","1","8","34.78","50","2.00","2.6","139","89","32","4","5","15","20","10","10","0","0","5","65","7","25","102","40","0","0","-"
"226","Anthony Duclair","NYI","L","34","442.73333333333","4","4","4","0","8","57.14","44","9.09","4.54","77","59","42","21","3","5","8","4","4","0","0","7","30","7","17","32","13","0","1","0.00"
"242","William Carrier","CAR","L","39","435.41666666667","3","5","2","3","8","47.06","40","7.50","6.02","100","69","67","33","5","15","16","8","8","0","0","6","16","11","131","57","11","5","5","50.00"
"281","Jakub Vrana","NSH, WSH","L","28","257.63333333333","4","4","2","2","8","61.54","23","17.39","2.1","51","41","27","9","2","6","6","3","3","0","0","2","17","5","13","9","5","3","10","23.08"
"300","Justin Kirkland","CGY","C","21","179.55","2","6","4","2","8","80.00","9","22.22","1.1","21","17","8","5","0","2","11","4","3","1","0","4","6","3","44","18","16","51","62","45.13"
"317","Pierre Engvall","NYI","L","44","480.45","4","4","2","2","8","57.14","43","9.30","3.11","76","55","33","12","2","6","12","6","6","0","0","1","24","4","23","25","10","5","21","19.23"
"337","Jordan Greenway","BUF","L","28","334.11666666667","3","5","4","1","8","44.44","32","9.38","4.25","73","59","34","18","5","6","17","7","6","1","0","10","21","6","73","28","10","1","10","9.09"
"350","Brandon Carlo","BOS, TOR","D","65","1008.7333333333","1","7","1","6","8","22.86","59","1.69","2.03","150","94","33","3","9","11","22","10","10","0","0","5","80","12","61","98","96","0","0","-"
"398","Ryan Lomberg","CGY","L","61","512.68333333333","1","7","5","2","8","57.14","52","1.92","4.8","93","76","42","22","13","8","53","15","8","7","0","13","13","11","93","29","17","1","8","11.11"
"411","Carl Grundstrom","S.J","R","43","390.61666666667","2","6","5","1","8","80.00","60","3.33","5.48","107","84","53","22","4","11","18","8","8","0","0","5","31","2","131","55","13","3","2","60.00"
"416","Jesse Puljujarvi","PIT","R","26","276.88333333333","3","5","2","3","8","72.73","33","9.09","3.74","77","53","44","17","6","10","8","4","4","0","0","3","11","2","43","28","7","0","1","0.00"
"436","Dennis Cholowski","N.J, NYI","D","35","397.75","3","5","2","3","8","47.06","24","12.50","0.78","53","32","14","4","3","5","10","5","5","0","0","0","33","7","5","30","30","0","0","-"
"475","Conor Timmins","PIT, TOR","D","53","739.06666666667","2","6","3","3","8","32.00","48","4.17","1.92","124","78","30","4","0","11","24","12","12","0","0","5","41","10","45","105","69","0","0","-"
"500","Timothy Liljegren","S.J, TOR","D","52","826.1","4","4","1","3","8","26.67","71","5.63","3.55","165","105","52","9","6","16","30","15","15","0","0","7","46","9","47","93","69","0","0","-"
"508","Alexandre Texier","STL","C","27","311.01666666667","4","4","3","1","8","66.67","43","9.30","3.38","74","57","35","13","4","5","8","4","4","0","0","3","10","4","15","10","10","0","0","-"
"512","David Kampf","TOR","C","51","512.98333333333","3","5","4","1","8","57.14","36","8.33","4.4","65","54","34","20","6","7","12","6","6","0","0","5","25","11","40","39","19","189","163","53.69"
"539","Philipp Kurashev","CHI","C","43","527.55","4","4","1","3","8","80.00","39","10.26","4.23","85","64","49","16","1","4","14","7","7","0","0","7","22","12","27","25","14","82","94","46.59"
"545","Mattias Samuelsson","BUF","D","43","661.96666666667","2","6","3","3","8","28.57","35","5.71","1.2","76","57","17","2","5","7","6","3","3","0","0","4","33","5","61","64","49","0","0","-"
"553","Ty Emberson","EDM","D","61","791.45","0","8","6","2","8","25.81","50","0.00","1.69","122","75","29","2","5","11","18","6","4","2","0","7","35","26","87","161","58","0","0","-"
"599","Jake Christiansen","CBJ","D","64","772.25","1","7","4","3","8","20.51","55","1.82","1.91","127","85","34","2","6","11","11","4","3","1","0","1","44","7","46","91","60","0","0","-"
"604","Kyle MacLean","NYI","C","63","579.96666666667","3","5","3","2","8","72.73","45","6.67","3.84","89","66","39","22","7","5","8","4","4","0","0","8","19","9","80","32","21","171","195","46.72"
"646","Jayden Struble","MTL","D","38","523.3","2","6","1","5","8","47.06","36","5.56","1.1","88","46","22","4","5","6","44","14","11","2","1","4","34","15","82","57","37","0","0","-"
"670","Elmer Soderblom","DET","L","18","226.38333333333","3","5","1","4","8","72.73","25","12.00","4.02","53","43","35","18","2","4","2","1","1","0","0","3","14","2","35","27","7","3","9","25.00"
"676","Tye Kartye","SEA","L","51","476.61666666667","4","4","1","3","8","57.14","44","9.09","3.67","88","64","53","17","1","5","36","18","18","0","0","22","20","2","150","36","22","3","9","25.00"
"703","Justin Barron","MTL, NSH","D","44","647.18333333333","4","4","2","2","8","38.10","44","9.09","2.12","94","62","34","6","2","4","21","9","8","1","0","4","35","8","50","61","47","0","0","-"
"713","Brett Berard","NYR","L","23","252.55","4","4","1","3","8","80.00","41","9.76","3.81","73","52","35","20","2","10","8","4","4","0","0","7","13","6","34","21","14","3","2","60.00"
"764","Nolan Allan","CHI","D","43","599.06666666667","1","7","3","4","8","42.11","17","5.88","1.01","64","33","22","6","5","3","16","8","8","0","0","0","22","8","59","89","40","0","0","-"
"49","Cam Atkinson","T.B","R","37","296.33333333333","2","5","5","0","7","58.33","37","5.41","2.96","51","46","32","14","8","4","11","4","3","1","0","4","11","3","14","11","10","1","2","33.33"
"61","Calvin de Haan","COL, NYR","D","47","647.58333333333","0","7","4","3","7","30.43","50","0.00","1.87","144","85","33","6","10","11","8","4","4","0","0","3","35","7","67","41","52","0","0","-"
"64","Chris Kreider","NYR","L","51","569.71666666667","5","2","0","2","7","36.84","62","8.06","6.29","121","95","71","30","7","6","16","8","8","0","0","2","19","5","64","17","14","16","33","32.65"
"166","Mathew Dumba","DAL","D","45","641.96666666667","1","6","5","1","7","25.00","34","2.94","2.37","126","68","37","7","7","15","52","19","16","2","1","8","44","11","51","66","43","0","0","-"
"197","Brock McGinn","ANA","L","26","257.75","4","3","2","1","7","63.64","26","15.38","3.44","44","34","27","21","1","4","0","0","0","0","0","7","8","5","59","12","24","0","6","0.00"
"272","Tomas Nosek","FLA","L","53","446.08333333333","0","7","5","2","7","46.67","38","0.00","5.5","91","64","50","28","7","11","10","5","5","0","0","6","17","4","62","54","22","178","166","51.74"
"345","Christian Fischer","DET","R","45","465.18333333333","1","6","3","3","7","63.64","30","3.33","3.53","64","46","32","14","3","4","9","3","2","1","0","9","14","3","88","34","16","8","5","61.54"
"374","John Marino","UTA","D","22","396.56666666667","1","6","4","2","7","35.00","19","5.26","1.34","47","29","12","3","1","6","0","0","0","0","0","2","20","3","5","40","23","0","0","-"
"379","Noel Acciari","PIT","C","67","728.7","3","4","3","1","7","58.33","60","5.00","8.1","121","89","83","46","7","13","10","5","5","0","0","14","28","11","138","69","51","179","134","57.19"
"413","Patrik Laine","MTL","L","34","377.53333333333","2","5","3","2","7","53.85","29","6.90","2.91","67","47","35","10","2","7","10","5","5","0","0","3","23","6","17","24","22","6","4","60.00"
"428","Joshua Mahura","SEA","D","53","684.38333333333","0","7","4","3","7","24.14","52","0.00","1.93","115","77","22","3","4","10","16","8","8","0","0","3","34","10","70","103","36","0","0","-"
"439","Jake Bean","CGY","D","46","688.01666666667","2","5","2","3","7","38.89","56","3.57","2.27","126","87","31","6","3","12","8","4","4","0","0","3","34","19","11","61","32","0","0","-"
"447","Troy Stecher","EDM","D","50","649.85","3","4","3","1","7","30.43","40","7.50","1.34","93","54","27","3","9","8","25","10","9","1","0","2","38","5","27","96","49","0","0","-"
"507","Erik Brannstrom","VAN","D","28","369.61666666667","3","4","3","1","7","50.00","31","9.68","0.98","73","45","12","0","5","3","17","7","6","1","0","7","25","6","12","41","36","0","0","-"
"514","Jan Rutta","S.J","D","51","762.1","1","6","2","4","7","28.00","46","2.17","1.44","134","72","26","5","6","15","24","12","12","0","0","5","48","9","36","79","62","0","0","-"
"544","Isac Lundestrom","ANA","C","60","665.35","3","4","3","1","7","38.89","45","6.67","5.97","81","71","51","31","1","15","6","3","3","0","0","6","18","13","37","39","37","255","246","50.90"
"558","Rasmus Kupari","WPG","C","58","529.66666666667","4","3","3","0","7","58.33","48","8.33","4.66","94","71","39","24","4","5","16","7","7","0","0","9","27","6","77","54","27","218","188","53.69"
"592","Scott Perunovich","NYI, STL","D","33","469.98333333333","2","5","3","2","7","31.82","17","11.76","0.72","39","25","13","2","1","3","10","5","5","0","0","3","27","9","14","37","30","0","0","-"
"617","Kaedan Korczak","VGK","D","26","365.36666666667","0","7","4","3","7","38.89","22","0.00","0.57","54","28","14","0","1","10","0","0","0","0","0","0","20","4","37","38","25","0","0","-"
"630","John Beecher","BOS","C","64","604","2","5","4","1","7","41.18","28","7.14","3.49","67","51","37","14","6","8","16","8","8","0","0","8","33","10","70","59","40","201","166","54.77"
"661","Cole Schwindt","VGK","R","40","356.08333333333","0","7","2","5","7","50.00","31","0.00","4.12","62","47","37","16","1","10","0","0","0","0","0","8","19","6","38","36","14","97","97","50.00"
"718","Hendrix Lapierre","WSH","C","27","244.45","0","7","3","4","7","100.00","17","0.00","2.45","36","27","22","12","0","3","4","2","2","0","0","5","16","5","13","24","14","39","59","39.80"
"748","Daniil Miromanov","CGY","D","37","638.08333333333","1","6","3","3","7","33.33","41","2.44","2.02","119","61","33","8","7","9","10","5","5","0","0","2","34","10","18","49","47","0","0","-"
"752","J.J. Moser","T.B","D","36","600","1","6","2","4","7","22.58","34","2.94","1.74","97","54","34","7","7","7","12","6","6","0","0","2","34","14","26","62","34","0","0","-"
"766","Colton Dach","CHI","C","21","234.88333333333","2","5","2","3","7","58.33","18","11.11","2.47","35","28","19","12","2","4","17","7","6","1","0","7","12","11","68","21","10","7","5","58.33"
"806","Luca Del Bel Belluz","CBJ","C","15","185.61666666667","2","5","3","2","7","58.33","15","13.33","1.35","27","20","12","7","0","4","0","0","0","0","0","0","8","3","4","16","12","62","82","43.06"
"97","Derek Forbort","VAN","D","38","561.76666666667","1","5","2","3","6","46.15","30","3.33","1.21","91","50","20","0","0","7","26","10","8","2","0","6","36","6","28","56","45","0","0","-"
"135","Scott Mayfield","NYI","D","54","811.56666666667","2","4","2","2","6","15.38","40","5.00","2.08","122","66","35","10","4","11","25","11","10","1","0","11","50","18","71","65","70","0","0","-"
"161","Barclay Goodrow","S.J","C","61","693.58333333333","3","3","2","1","6","46.15","52","5.77","6.26","99","79","58","30","4","12","53","18","13","5","0","10","34","20","123","47","33","60","59","50.42"
"165","Hampus Lindholm","BOS","D","17","238.31666666667","3","3","1","2","6","54.55","24","12.50","0.91","57","33","15","2","4","6","4","2","2","0","0","2","23","14","5","30","10","0","0","-"
"167","Phillip Di Giuseppe","VAN","L","20","212.86666666667","1","5","2","3","6","75.00","20","5.00","1.51","35","25","16","8","2","5","4","2","2","0","0","2","4","1","51","11","5","0","4","0.00"
"268","Jordan Oesterle","BOS, NSH","D","24","395.18333333333","1","5","2","3","6","35.29","19","5.26","0.93","54","33","11","2","2","3","4","2","2","0","0","1","36","7","22","48","41","0","0","-"
"277","Haydn Fleury","WPG","D","32","461.38333333333","0","6","4","2","6","54.55","31","0.00","0.96","85","46","21","0","3","5","4","2","2","0","0","0","29","2","37","60","40","0","0","-"
"286","Tony DeAngelo","NYI","D","17","321.35","1","5","3","2","6","42.86","22","4.55","0.81","55","30","12","3","1","4","4","2","2","0","0","1","17","4","7","9","21","0","0","-"
"342","Jansen Harkins","ANA","C","46","440.45","2","4","1","3","6","54.55","33","6.06","2.72","66","46","30","11","4","11","14","7","7","0","0","11","26","11","99","29","20","71","67","51.45"
"442","Nathan Bastian","N.J","R","48","472.63333333333","1","5","3","2","6","75.00","36","2.78","5.2","65","48","39","25","5","6","29","9","7","1","1","8","18","2","104","49","22","5","15","25.00"
"444","Jacob Moverare","L.A","D","42","478.46666666667","1","5","0","5","6","30.00","23","4.35","0.85","63","36","16","2","4","9","10","5","5","0","0","1","18","7","25","71","50","0","0","-"
"488","Klim Kostin","S.J","C","32","307.8","1","5","2","3","6","60.00","26","3.85","3.16","46","38","33","16","1","7","25","11","10","1","0","10","25","4","98","26","15","3","6","33.33"
"497","Henri Jokiharju","BOS, BUF","D","44","665.4","3","3","2","1","6","20.00","41","7.32","1.46","123","68","32","1","6","16","12","6","6","0","0","2","40","8","30","57","29","0","0","-"
"518","Jacob Bryson","BUF","D","39","506.31666666667","0","6","4","2","6","26.09","14","0.00","0.95","41","22","14","2","0","5","10","5","5","0","0","3","27","6","8","61","40","0","0","-"
"526","Morgan Barron","WPG","C","58","515.01666666667","3","3","2","1","6","50.00","65","4.62","7.77","125","102","74","43","6","15","14","7","7","0","0","8","28","18","93","68","26","28","24","53.85"
"559","Ty Dellandrea","S.J","C","52","541.45","1","5","2","3","6","54.55","35","2.86","5.28","82","60","51","24","3","10","41","16","13","3","0","11","25","7","134","69","30","137","119","53.52"
"566","Adam Boqvist","FLA, NYI","D","30","332.46666666667","3","3","1","2","6","42.86","27","11.11","1.41","69","42","27","3","2","3","8","4","4","0","0","0","14","4","11","24","13","0","0","-"
"600","Brayden Pachal","CGY","D","62","796.4","2","4","3","1","6","25.00","49","4.08","1.64","170","87","36","3","9","16","78","29","24","4","1","19","58","13","118","69","58","0","0","-"
"655","Albert Johansson","DET","D","43","675.6","1","5","1","4","6","31.58","33","3.03","1.52","90","51","22","0","2","6","14","7","7","0","0","7","37","10","44","84","59","0","0","-"
"724","Shakir Mukhamadullin","S.J","D","22","332.7","1","5","2","3","6","60.00","17","5.88","0.84","53","30","19","3","1","5","4","2","2","0","0","1","23","4","18","32","27","0","0","-"
"729","Marat Khusnutdinov","BOS, MIN","C","59","570.05","2","4","2","2","6","60.00","27","7.41","3.01","53","45","33","16","4","1","14","6","6","0","0","0","32","3","41","44","32","163","196","45.40"
"737","Mikael Pyyhtia","CBJ","L","47","489.3","3","3","3","0","6","46.15","28","10.71","2.11","65","39","28","11","5","7","6","3","3","0","0","1","23","8","23","40","32","2","1","66.67"
"785","Fedor Svechkov","NSH","C","34","368.65","4","2","0","2","6","60.00","37","10.81","5.08","88","64","48","21","4","5","4","2","2","0","0","6","29","5","23","40","14","73","123","37.24"
"789","Olen Zellweger","ANA","D","46","715.23333333333","2","4","2","2","6","21.43","68","2.94","3.15","163","102","45","7","4","9","8","4","4","0","0","9","40","9","29","86","43","0","0","-"
"837","Nick Blankenburg","NSH","D","42","644.98333333333","2","4","2","2","6","20.69","48","4.17","3.29","112","71","40","12","7","13","8","4","4","0","0","5","31","10","34","85","32","0","0","-"
"840","Ethen Frank","WSH","C","22","219.08333333333","4","2","1","1","6","54.55","21","19.05","2.05","36","30","22","13","3","3","6","2","2","0","0","5","7","5","10","16","12","0","1","0.00"
"848","Max Sasson","VAN","C","24","237.76666666667","2","4","4","0","6","75.00","25","8.00","2.61","38","29","18","11","1","4","0","0","0","0","0","2","9","5","14","22","13","26","35","42.62"
"7","Jack Johnson","CBJ","D","34","374.11666666667","0","5","1","4","5","29.41","18","0.00","0.58","42","26","8","2","0","4","2","1","1","0","0","1","12","5","10","26","24","0","0","-"
"15","Trevor Lewis","L.A","C","48","443.63333333333","3","2","1","1","5","62.50","41","7.32","4.23","92","75","34","16","4","5","20","10","10","0","0","1","16","2","76","39","24","85","96","46.96"
"16","Jeff Petry","DET","D","34","579.21666666667","1","4","3","1","5","27.78","22","4.55","1.19","79","40","25","4","3","12","12","6","6","0","0","3","36","10","33","55","47","0","0","-"
"25","David Perron","OTT","L","26","286.65","2","3","2","1","5","55.56","33","6.06","4.14","65","50","38","15","0","9","2","1","1","0","0","2","12","6","37","13","4","5","7","41.67"
"38","Luke Schenn","NSH, WPG","D","62","880.45","1","4","2","2","5","20.00","63","1.59","3.59","161","92","47","12","9","19","41","13","8","5","0","7","44","13","227","78","71","0","0","-"
"88","Justin Holl","DET","D","56","753.68333333333","1","4","3","1","5","22.73","28","3.57","1.47","84","60","20","5","4","7","14","7","7","0","0","2","54","5","23","121","47","0","0","-"
"162","Luke Glendening","T.B","C","64","574.4","3","2","2","0","5","45.45","39","7.69","4.62","75","57","41","23","4","6","10","5","5","0","0","6","12","4","92","60","40","331","242","57.77"
"175","Zemgus Girgensons","T.B","C","64","635.13333333333","1","4","4","0","5","45.45","66","1.52","7.09","115","94","72","27","7","10","31","7","3","3","1","14","18","8","123","112","27","35","44","44.30"
"191","Jimmy Vesey","COL, NYR","L","35","363.71666666667","4","1","1","0","5","55.56","30","13.33","3.04","65","49","29","13","6","5","0","0","0","0","0","3","19","6","24","6","10","3","9","25.00"
"260","Curtis Lazar","N.J","C","39","362.13333333333","2","3","2","1","5","71.43","22","9.09","2.17","41","32","21","11","4","3","12","6","6","0","0","7","8","2","83","36","14","149","143","51.03"
"261","Anthony Mantha","CGY","R","13","153.7","2","3","2","1","5","62.50","13","15.38","1.74","28","23","15","9","4","3","9","3","2","1","0","2","5","3","13","8","8","3","6","33.33"
"309","Sam Lafferty","BUF","C","45","402.63333333333","2","3","1","2","5","55.56","33","6.06","2.6","62","44","27","13","3","6","20","10","10","0","0","7","17","2","61","40","11","42","44","48.84"
"373","Dennis Gilbert","BUF, OTT","D","26","245.46666666667","0","5","1","4","5","45.45","5","0.00","0.22","22","13","9","0","2","4","50","15","10","4","1","10","9","5","52","37","28","0","0","-"
"380","Derek Ryan","EDM","C","33","294.36666666667","1","4","1","3","5","62.50","17","5.88","1.97","36","26","27","10","0","2","12","5","5","0","0","2","11","9","24","27","20","121","77","61.11"
"400","Kevin Rooney","CGY","C","52","383.33333333333","3","2","0","2","5","41.67","31","9.68","2.88","57","43","31","16","5","3","12","6","6","0","0","8","20","6","79","48","21","124","135","47.88"
"435","Noah Gregor","OTT","L","40","412.1","3","2","2","0","5","83.33","42","7.14","4.26","106","76","41","19","6","7","15","6","5","1","0","5","14","5","72","30","22","3","3","50.00"
"471","Juuso Valimaki","UTA","D","43","638","2","3","2","1","5","21.74","36","5.56","2.39","104","58","30","11","5","7","14","7","7","0","0","10","39","8","22","94","41","0","0","-"
"536","Oliver Wahlstrom","BOS, NYI","R","43","396.86666666667","3","2","1","1","5","71.43","46","6.52","4.17","91","60","43","21","4","4","35","9","5","3","1","7","10","5","34","30","29","6","2","75.00"
"569","Nils Lundkvist","DAL","D","39","565.25","0","5","3","2","5","25.00","48","0.00","1.82","140","76","41","3","4","10","20","10","10","0","0","2","31","6","23","74","33","0","0","-"
"584","David Gustafsson","WPG","C","29","250.98333333333","1","4","2","2","5","38.46","26","3.85","2.13","47","37","15","9","1","4","7","2","1","1","0","2","6","2","18","46","18","88","85","50.87"
"596","Simon Benoit","TOR","D","60","840.61666666667","1","4","2","2","5","17.24","32","3.13","1.25","78","55","18","0","3","2","46","20","18","2","0","8","52","11","152","101","70","0","0","-"
"656","Vladislav Kolyachonok","PIT, UTA","D","27","332.66666666667","2","3","2","1","5","45.45","17","11.76","0.92","45","27","14","3","1","5","6","2","2","0","0","0","26","4","16","34","22","0","0","-"
"674","Marc Del Gaizo","NSH","D","28","421.55","1","4","3","1","5","38.46","41","2.44","1.65","87","53","26","3","2","10","17","7","6","1","0","2","20","14","43","40","36","0","0","-"
"695","Tyler Kleven","OTT","D","61","839.16666666667","3","2","2","0","5","23.81","55","5.45","1.52","130","75","23","2","4","5","23","10","9","1","0","11","50","21","78","129","77","0","0","-"
"707","Sam Colangelo","ANA","R","18","202.83333333333","4","1","1","0","5","45.45","23","17.39","2.71","47","37","26","11","2","6","2","1","1","0","0","2","7","1","41","16","11","3","9","25.00"
"728","Wyatt Kaiser","CHI","D","41","644.71666666667","3","2","1","1","5","20.83","49","6.12","1.45","94","67","25","0","4","6","12","6","6","0","0","6","38","17","37","82","63","0","0","-"
"734","Artem Zub","OTT","D","39","646.41666666667","1","4","2","2","5","26.32","40","2.50","1.39","94","54","27","5","6","7","20","10","10","0","0","7","32","8","40","48","61","0","0","-"
"798","Arber Xhekaj","MTL","D","61","839.83333333333","1","4","2","2","5","19.23","62","1.61","2.53","157","96","31","5","5","14","89","29","22","5","2","14","55","13","144","70","50","0","0","-"
"803","Lian Bichsel","DAL","D","22","318","2","3","2","1","5","25.00","21","9.52","0.65","55","29","7","0","4","3","18","9","9","0","0","4","14","2","87","76","13","0","0","-"
"809","Isaiah George","NYI","D","33","499.66666666667","1","4","0","4","5","29.41","26","3.85","0.63","72","35","22","2","3","5","6","3","3","0","0","0","26","6","14","81","32","0","0","-"
"820","Denton Mateychuk","CBJ","D","27","420.83333333333","3","2","1","1","5","23.81","21","14.29","0.97","48","33","13","2","2","3","12","5","5","0","0","3","20","7","12","52","35","0","0","-"
"846","Ivan Ivan","COL","C","40","348.31666666667","3","2","0","2","5","41.67","25","12.00","3.42","51","39","36","18","5","6","6","3","3","0","0","1","19","1","12","22","9","53","78","40.46"
"866","Collin Graf","S.J","R","22","248.38333333333","2","3","1","2","5","71.43","15","13.33","1.62","24","21","17","10","0","1","2","1","1","0","0","0","4","5","12","13","9","2","1","66.67"
"24","Brendan Smith","DAL","D","27","321.53333333333","0","4","2","2","4","36.36","22","0.00","1.32","60","35","24","9","6","3","31","11","8","3","0","9","22","5","33","43","18","0","0","-"
"34","Drew Doughty","L.A","D","15","308.61666666667","1","3","2","1","4","28.57","18","5.56","0.59","52","27","17","2","2","3","8","4","4","0","0","0","27","2","12","11","27","0","0","-"
"82","Justin Dowling","N.J","C","43","418.9","1","3","2","1","4","44.44","23","4.35","3.01","63","46","31","13","3","6","4","2","2","0","0","3","24","9","39","47","19","126","139","47.55"
"92","Jon Merrill","MIN","D","54","715.55","1","3","2","1","4","19.05","36","2.78","1.26","80","57","17","3","2","4","14","7","7","0","0","2","53","10","28","90","65","0","0","-"
"117","John Klingberg","EDM","D","9","167.26666666667","1","3","1","2","4","50.00","17","5.88","0.88","34","24","8","3","1","2","8","4","4","0","0","0","14","1","4","19","12","0","0","-"
"189","Devin Shore","MIN","C","42","345.35","1","3","1","2","4","66.67","29","3.45","3","54","42","29","13","1","1","4","2","2","0","0","3","13","7","58","36","27","23","26","46.94"
"216","Tyler Motte","DET","C","37","356.3","2","2","1","1","4","50.00","39","5.13","4.05","93","63","48","21","5","3","2","1","1","0","0","8","18","12","49","38","20","17","13","56.67"
"229","Miles Wood","COL","L","29","305.11666666667","2","2","0","2","4","44.44","48","4.17","5.34","98","71","48","27","3","8","46","16","13","2","1","9","17","4","38","26","9","2","3","40.00"
"262","Ross Johnston","ANA","L","42","365.45","1","3","2","1","4","57.14","9","11.11","1.47","31","21","17","14","1","5","72","22","16","4","2","10","18","3","128","22","19","0","2","0.00"
"314","Dakota Joshua","VAN","C","39","454.83333333333","2","2","2","0","4","50.00","25","8.00","4.6","60","43","47","23","2","5","24","9","7","2","0","5","24","10","127","48","15","17","10","62.96"
"320","Matthew Highmore","OTT","C","24","248.96666666667","1","3","2","1","4","100.00","24","4.17","2.32","45","37","21","10","1","7","6","3","3","0","0","7","12","3","26","24","10","3","7","30.00"
"336","Anthony Richard","PHI","C","15","157.68333333333","1","3","3","0","4","57.14","14","7.14","1.11","30","25","15","4","1","3","0","0","0","0","0","2","4","2","8","8","7","0","2","0.00"
"344","Oliver Kylington","COL","D","13","162.41666666667","1","3","3","0","4","80.00","4","25.00","0.23","23","8","4","0","2","2","4","2","2","0","0","0","10","4","2","12","14","0","0","-"
"354","Parker Wotherspoon","BOS","D","39","622.88333333333","1","3","3","0","4","23.53","30","3.33","0.79","76","46","19","0","4","6","8","4","4","0","0","7","46","11","46","70","43","0","0","-"
"362","Daniel Sprong","N.J, SEA, VAN","R","20","199.38333333333","1","3","2","1","4","50.00","24","4.17","1.75","51","38","17","6","2","2","2","1","1","0","0","2","9","3","13","17","0","0","3","0.00"
"384","Ryan Shea","PIT","D","30","450.03333333333","2","2","2","0","4","26.67","16","12.50","0.69","52","31","12","0","2","4","8","4","4","0","0","2","29","10","10","46","36","0","0","-"
"510","Nick DeSimone","UTA","D","14","210.31666666667","0","4","2","2","4","66.67","15","0.00","0.71","32","22","12","1","2","4","0","0","0","0","0","0","21","5","10","20","7","0","0","-"
"570","Jacob Bernard-Docker","OTT","D","25","321.48333333333","1","3","1","2","4","26.67","18","5.56","0.62","55","32","19","1","3","2","4","2","2","0","0","0","9","1","21","41","25","0","0","-"
"571","Jakub Lauko","BOS, MIN","C","40","358.25","2","2","1","1","4","57.14","28","7.14","2.69","60","46","29","14","3","4","29","10","7","3","0","7","19","6","74","37","18","1","6","14.29"
"573","Jordan Harris","CBJ","D","29","315.91666666667","1","3","2","1","4","44.44","13","7.69","0.49","31","21","6","1","2","4","6","3","3","0","0","4","14","3","19","58","31","0","0","-"
