"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"130","Nick Cousins","OTT","C","47","545.5","5","7","4","3","12","57.14","62","8.06","6.23","115","87","60","30","12","12","39","18","17","1","0","16","22","5","78","68","23","1","6","14.29"
"219","Jonny Brodzinski","NYR","C","34","347.21666666667","6","6","3","3","12","85.71","42","14.29","3.78","73","60","40","17","3","5","4","2","2","0","0","3","11","7","19","15","14","53","61","46.49"
"252","Rasmus Ristolainen","PHI","D","63","1048.8666666667","2","10","3","7","12","30.77","85","2.35","3.9","164","119","37","12","7","24","14","6","6","0","0","6","44","21","86","110","76","0","0","-"
"258","Ryan Pulock","NYI","D","57","990.71666666667","4","8","6","2","12","34.29","61","6.56","1.98","151","92","34","1","7","16","10","5","5","0","0","5","51","19","63","83","89","0","0","-"
"327","Rasmus Andersson","CGY","D","63","1122.7333333333","5","7","2","5","12","35.29","89","5.62","4.09","216","150","56","11","5","13","40","16","15","0","1","16","72","22","19","70","107","0","0","-"
"366","Lawson Crouse","UTA","L","63","737.26666666667","9","3","2","1","12","54.55","84","10.71","9.87","160","130","98","44","12","6","28","11","9","2","0","10","47","12","133","40","27","7","14","33.33"
"381","Kevin Stenlund","UTA","C","64","714.75","5","7","4","3","12","60.00","64","7.81","6.12","125","97","53","20","6","7","28","13","13","0","0","8","32","12","38","52","35","315","229","57.90"
"423","Trent Frederic","BOS","C","57","696.91666666667","7","5","3","2","12","63.16","67","10.45","9.09","149","102","82","36","6","19","42","15","11","4","0","10","31","11","149","64","25","80","109","42.33"
"457","Michael Carcone","UTA","L","44","466.98333333333","6","6","3","3","12","60.00","61","9.84","6.02","142","100","68","31","5","11","34","10","7","2","1","9","34","3","42","39","9","4","3","57.14"
"501","Dylan Samberg","WPG","D","44","795.21666666667","4","8","5","3","12","27.27","61","6.56","1.99","150","86","37","2","5","9","12","6","6","0","0","2","47","22","34","78","60","0","0","-"
"525","Alexey Toropchenko","STL","R","63","687.56666666667","2","10","3","7","12","63.16","63","3.17","6.98","126","86","69","36","5","12","21","9","8","1","0","6","16","3","155","64","36","2","2","50.00"
"528","Sean Walker","CAR","D","65","962.46666666667","3","9","4","5","12","34.29","96","3.13","4.59","260","155","74","8","10","20","36","17","17","0","0","5","44","27","66","142","68","0","0","-"
"577","Ilya Lyubushkin","DAL","D","62","892.46666666667","1","11","4","7","12","30.77","37","2.70","1.64","107","66","23","5","7","7","18","9","9","0","0","5","75","14","63","100","82","0","0","-"
"589","Nikolai Kovalenko","COL, S.J","R","48","526.93333333333","2","10","5","5","12","54.55","34","5.88","4.04","75","60","44","24","6","3","14","7","7","0","0","11","28","15","68","51","20","0","4","0.00"
